sales_date,orders_count,units_sold,gross_sales,avg_order_value,events_count,error_count
2025-09-01,16,24,5231.47,326.97,50,0
2025-09-02,18,32,5375.5,298.64,61,0
2025-09-03,21,33,4400.4,209.54,59,1
2025-09-04,24,39,7817.49,325.73,70,0
2025-09-05,22,38,6643.25,301.97,61,0
2025-09-06,17,23,3307.54,194.56,47,1
2025-09-07,14,22,3874.38,276.74,38,0
2025-09-08,18,29,5171.2,287.29,57,0
2025-09-09,20,26,3730.02,186.5,62,0
2025-09-10,21,29,6051.47,288.17,69,0
2025-09-11,24,50,7614.58,317.27,70,0
2025-09-12,23,38,5438.45,236.45,65,0
2025-09-13,19,36,6337.46,333.55,58,0
2025-09-14,14,28,6269.45,447.82,40,2
2025-09-15,17,26,4267.27,251.02,50,0
2025-09-16,18,23,4506.65,250.37,46,0
2025-09-17,18,27,4740.46,263.36,58,2
2025-09-18,22,35,6513.11,296.05,66,0
2025-09-19,21,33,6005.58,285.98,65,0
2025-09-20,17,26,3327.9,195.76,57,0
2025-09-21,16,32,3858.96,241.19,45,0
2025-09-22,16,29,3562.36,222.65,45,0
2025-09-23,16,23,3343.21,208.95,46,0
2025-09-24,20,32,5288.98,264.45,51,0
2025-09-25,23,41,4935.0,214.57,69,0
2025-09-26,22,35,6745.21,306.6,69,0
2025-09-27,16,23,4429.45,276.84,51,0
2025-09-28,15,26,4521.78,301.45,46,1
2025-09-29,15,22,3205.64,213.71,47,0
2025-09-30,19,29,3519.69,185.25,55,0
2025-10-01,21,37,6610.92,314.81,58,1
2025-10-02,25,35,4582.32,183.29,79,1
2025-10-03,20,36,5153.24,257.66,56,0
2025-10-04,21,38,6971.28,331.97,60,0
2025-10-05,16,23,3643.76,227.74,50,0
2025-10-06,16,30,3956.93,247.31,49,0
2025-10-07,18,30,4400.48,244.47,54,0
2025-10-08,22,36,5493.34,249.7,63,0
2025-10-09,27,49,7633.6,282.73,80,0
2025-10-10,21,30,4739.93,225.71,67,0
2025-10-11,19,27,5198.31,273.6,64,0
2025-10-12,16,27,4147.58,259.22,47,1
2025-10-13,17,28,4538.49,266.97,48,0
2025-10-14,21,34,4504.51,214.5,60,1
2025-10-15,22,34,5663.46,257.43,68,0
2025-10-16,24,34,4039.75,168.32,69,1
2025-10-17,20,33,5322.07,266.1,61,0
2025-10-18,20,28,5794.58,289.73,56,0
2025-10-19,18,30,5004.1,278.01,57,0
2025-10-20,15,22,3287.36,219.16,46,0
2025-10-21,19,33,4266.62,224.56,50,0
2025-10-22,24,40,6369.49,265.4,71,0
2025-10-23,22,37,6140.81,279.13,68,0
2025-10-24,22,36,6225.58,282.98,61,1
2025-10-25,21,34,5701.6,271.5,71,0
2025-10-26,24,39,7119.31,296.64,70,0
2025-10-27,26,41,8667.09,333.35,80,0
2025-10-28,26,36,6147.01,236.42,72,1
2025-10-29,30,53,9669.31,322.31,92,0
2025-10-30,34,56,8107.39,238.45,98,1
2025-10-31,31,52,8261.45,266.5,94,0
2025-11-01,28,46,5477.62,195.63,83,0
2025-11-02,28,46,7025.15,250.9,86,0
2025-11-03,22,35,5536.62,251.66,68,0
2025-11-04,23,36,3573.48,155.37,70,1
2025-11-05,28,52,8367.98,298.86,79,0
2025-11-06,30,49,8409.16,280.31,100,0
2025-11-07,25,39,6335.49,253.42,80,1
2025-11-08,22,34,6911.06,314.14,71,0
2025-11-09,22,32,7888.92,358.59,67,1
