order_id,order_ts,order_date,customer_id,customer_name,segment,region,channel,line_no,product_id,product_name,product_category,quantity,unit_price,line_total,currency
O100000,2025-09-01T09:15:46,2025-09-01,C0049,Customer 0049,Mid-Market,SE,web,1,P110,Professional Subscription,subscription,1,81.41,81.41,USD
O100001,2025-09-01T19:34:48,2025-09-01,C0031,Customer 0031,Mid-Market,MW,mobile,1,P300,Implementation Package,service,1,497.74,497.74,USD
O100002,2025-09-01T08:36:18,2025-09-01,C0027,Customer 0027,Consumer,MW,web,1,P110,Professional Subscription,subscription,1,84.88,84.88,USD
O100003,2025-09-01T20:33:24,2025-09-01,C0058,Customer 0058,SMB,W,web,1,P310,Training Package,service,1,303.24,303.24,USD
O100004,2025-09-01T12:02:14,2025-09-01,C0121,Customer 0121,SMB,NE,web,1,P310,Training Package,service,1,296.80,296.80,USD
O100005,2025-09-01T15:28:05,2025-09-01,C0139,Customer 0139,Consumer,W,mobile,1,P300,Implementation Package,service,1,507.28,507.28,USD
O100005,2025-09-01T15:28:05,2025-09-01,C0139,Customer 0139,Consumer,W,mobile,2,P120,Enterprise Subscription,subscription,1,183.90,183.90,USD
O100006,2025-09-01T17:27:40,2025-09-01,C0047,Customer 0047,Consumer,MW,mobile,1,P200,Analytics Add-on,addon,1,37.88,37.88,USD
O100006,2025-09-01T17:27:40,2025-09-01,C0047,Customer 0047,Consumer,MW,mobile,2,P120,Enterprise Subscription,subscription,1,186.41,186.41,USD
O100006,2025-09-01T17:27:40,2025-09-01,C0047,Customer 0047,Consumer,MW,mobile,3,P310,Training Package,service,1,282.77,282.77,USD
O100007,2025-09-01T15:40:28,2025-09-01,C0194,Customer 0194,Consumer,W,mobile,1,P210,Automation Add-on,addon,1,63.04,63.04,USD
O100008,2025-09-01T19:18:32,2025-09-01,C0128,Customer 0128,Consumer,SE,mobile,1,P200,Analytics Add-on,addon,1,37.40,37.40,USD
O100009,2025-09-01T11:36:24,2025-09-01,C0179,Customer 0179,Consumer,SW,web,1,P100,Starter Subscription,subscription,1,30.14,30.14,USD
O100009,2025-09-01T11:36:24,2025-09-01,C0179,Customer 0179,Consumer,SW,web,2,P120,Enterprise Subscription,subscription,1,205.53,205.53,USD
O100010,2025-09-01T09:30:50,2025-09-01,C0040,Customer 0040,SMB,W,partner,1,P300,Implementation Package,service,1,490.82,490.82,USD
